,Postcode,Borough,Neighbourhood
77,Agincourt ,M1S,Scarborough 
78,"Alderwood, Long Branch ",M8W,Etobicoke 
79,"Bathurst Manor, Wilson Heights, Downsview North ",M3H,North York 
80,Bayview Village ,M2K,North York 
81,"Bedford Park, Lawrence Manor East ",M5M,North York 
82,Berczy Park ,M5E,Downtown Toronto 
83,"Birch Cliff, Cliffside West ",M1N,Scarborough 
84,"Brockton, Parkdale Village, Exhibition Place ",M6K,West Toronto 
85,Business reply mail Processing Centre ,M7Y,East Toronto 
86,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport ",M5V,Downtown Toronto 
87,Caledonia-Fairbanks ,M6E,York 
88,Canada Post Gateway Processing Centre ,M7R,Mississauga 
89,Cedarbrae ,M1H,Scarborough 
90,Central Bay Street ,M5G,Downtown Toronto 
91,Christie ,M6G,Downtown Toronto 
92,Church and Wellesley ,M4Y,Downtown Toronto 
93,"Clarks Corners, Tam O'Shanter, Sullivan ",M1T,Scarborough 
94,"Cliffside, Cliffcrest, Scarborough Village West ",M1M,Scarborough 
95,"Commerce Court, Victoria Hotel ",M5L,Downtown Toronto 
96,Davisville ,M4S,Central Toronto 
97,Davisville North ,M4P,Central Toronto 
98,"Del Ray, Mount Dennis, Keelsdale and Silverthorn ",M6M,York 
99,Don Mills ,M3B,North York 
100,Don Mills ,M3C,North York 
101,"Dorset Park, Wexford Heights, Scarborough Town Centre ",M1P,Scarborough 
102,Downsview ,M3K,North York 
103,Downsview ,M3L,North York 
104,Downsview ,M3M,North York 
105,Downsview ,M3N,North York 
106,"Dufferin, Dovercourt Village ",M6H,West Toronto 
107,East Toronto ,M4J,East York 
108,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood ",M9C,Etobicoke 
109,"Fairview, Henry Farm, Oriole ",M2J,North York 
110,"First Canadian Place, Underground city ",M5X,Downtown Toronto 
111,Forest Hill North & West ,M5P,Central Toronto 
112,"Garden District, Ryerson ",M5B,Downtown Toronto 
113,Glencairn ,M6B,North York 
114,"Golden Mile, Clairlea, Oakridge ",M1L,Scarborough 
115,"Guildwood, Morningside, West Hill ",M1E,Scarborough 
116,"Harbourfront East, Union Station, Toronto Islands ",M5J,Downtown Toronto 
117,"High Park, The Junction South ",M6P,West Toronto 
118,Hillcrest Village ,M2H,North York 
119,Humber Summit ,M9L,North York 
120,"Humberlea, Emery ",M9M,North York 
121,Humewood-Cedarvale ,M6C,York 
122,"India Bazaar, The Beaches West ",M4L,East Toronto 
123,Islington Avenue ,M9A,Etobicoke 
124,"Kennedy Park, Ionview, East Birchmount Park ",M1K,Scarborough 
125,"Kensington Market, Chinatown, Grange Park ",M5T,Downtown Toronto 
126,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens ",M9R,Etobicoke 
127,"Lawrence Manor, Lawrence Heights ",M6A,North York 
128,Lawrence Park ,M4N,Central Toronto 
129,Leaside ,M4G,East York 
130,"Little Portugal, Trinity ",M6J,West Toronto 
131,"Malvern, Rouge ",M1B,Scarborough 
132,"Milliken, Agincourt North, Steeles East, L'Amoreaux East ",M1V,Scarborough 
133,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West ",M8Z,Etobicoke 
134,"Moore Park, Summerhill East ",M4T,Central Toronto 
135,"New Toronto, Mimico South, Humber Bay Shores ",M8V,Etobicoke 
136,"North Park, Maple Leaf Park, Upwood Park ",M6L,North York 
137,North Toronto West ,M4R,Central Toronto 
138,Northwest ,M9W,Etobicoke 
139,"Northwood Park, York University ",M3J,North York 
140,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East ",M8Y,Etobicoke 
141,"Parkdale, Roncesvalles ",M6R,West Toronto 
142,"Parkview Hill, Woodbine Gardens ",M4B,East York 
143,Parkwoods ,M3A,North York 
144,"Queen's Park, Ontario Provincial Government ",M7A,Downtown Toronto 
145,"Regent Park, Harbourfront ",M5A,Downtown Toronto 
146,"Richmond, Adelaide, King ",M5H,Downtown Toronto 
147,Rosedale ,M4W,Downtown Toronto 
148,Roselawn ,M5N,Central Toronto 
149,"Rouge Hill, Port Union, Highland Creek ",M1C,Scarborough 
150,"Runnymede, Swansea ",M6S,West Toronto 
151,"Runnymede, The Junction North ",M6N,York 
152,Scarborough Village ,M1J,Scarborough 
153,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens ",M9V,Etobicoke 
154,St. James Town ,M5C,Downtown Toronto 
155,"St. James Town, Cabbagetown ",M4X,Downtown Toronto 
156,"Steeles West, L'Amoreaux West ",M1W,Scarborough 
157,Stn A PO Boxes ,M5W,Downtown Toronto 
158,Studio District ,M4M,East Toronto 
159,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park ",M4V,Central Toronto 
160,"The Annex, North Midtown, Yorkville ",M5R,Central Toronto 
161,The Beaches ,M4E,East Toronto 
162,"The Danforth West, Riverdale ",M4K,East Toronto 
163,"The Kingsway, Montgomery Road, Old Mill North ",M8X,Etobicoke 
164,Thorncliffe Park ,M4H,East York 
165,"Toronto Dominion Centre, Design Exchange ",M5K,Downtown Toronto 
166,"University of Toronto, Harbord ",M5S,Downtown Toronto 
167,Upper Rouge ,M1X,Scarborough 
168,Victoria Village ,M4A,North York 
169,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale ",M9B,Etobicoke 
170,Westmount ,M9P,Etobicoke 
171,Weston ,M9N,York 
